onset,offset,expression
0,24,p
0,1,legato
3,4,legato
6,7,legato
9.5,10,legato
13,14,legato
15,16,legato
18,19,legato
19,21,legato
21,22,legato
24,36,mp
24,25,legato
27,28,legato
30,31,legato
32.5,33,legato
33.5,34,legato
36,39,f
37,38,legato
39,126,mp
39,40,legato
42,43,legato
45,46,legato
50,51,legato
51,52.66667,legato
52.66667,54,legato
58.66666667,60,legato
61,62,legato
64,65,legato
67,68,legato
69,70,legato
75,76,legato
78,79,legato
81.5,82,legato
85,86,legato
87,88,legato
91,93,legato
93,96,rit
96,97,legato
99,100,legato
102,103,legato
104.5,105,legato
105.5,106,legato
109,110,legato
111,112,legato
114,115,legato
117,118,legato
118,119,legato
119,120,legato
121,122,legato
123,124,legato
126,135,p
126,127,legato
126,134,rit
129,130,legato
