onset,offset,key,degree,quality,inversion,roman number
0,3,G,1,M,0,I
3,6,G,1,M,0,I
6,9,G,1,M,1,I6
9,10,G,2,m7,0,ii7
10,12,G,5,D7,0,V7
12,14,G,1,M,1,I
14,15,G,5/4,D7,3,V2/IV
15,17,G,4,M,1,IV6
17,18,G,7/5,d7,0,vii-7/V
18,20,G,1,M,2,I64
20,21,G,5,D7,0,V7
21,24,G,1,M,0,I
24,27,G,1,M,0,I
27,30,G,1,M,0,I
30,33,G,1,M,1,I6
33,34,G,2,m7,0,ii7
34,36,G,5,D7,0,V7
36,38,G,1,M,0,I
38,39,G,5/6,D7,0,V7/vi
39,41,G,4,M,0,IV
41,42,G,7/5,d7,0,vii-7/V
42,44,G,1,M,2,I64
44,45,G,5,D7,0,V7
45,48,G,1,M,0,I
48,51,G,4,M,0,IV
51,54,G,1,M,0,I
54,55,G,1,M,1,I6
55,56,G,1,M,0,IV
56,57,G,7/5,d7,0,vii-7/V
57,60,G,5,D7,0,V7
60,63,G,1,M,1,I6
63,66,G,3,m,0,iii
66,67,G,4,M,0,IV
67,69,G,5,M,0,V
69,70,G,5,D7,0,V7
70,72,G,1,M,0,I
72,75,G,1,M,0,I
75,78,G,1,M,0,I
78,81,G,1,M,1,I6
81,82,G,2,m7,0,ii7
82,84,G,5,D7,0,V7
84,86,G,1,M,0,I
86,87,G,5/4,D7,3,V2/IV
87,89,G,4,M,1,IV6
89,90,G,7/5,d7,0,vii-7/V
90,91,G,5,M,0,V
91,93,G,5,D7,0,V7
93,96,G,1,M,0,I
96,99,G,1,M,0,I
99,102,G,1,M,0,I
102,105,G,1,M,1,I6
105,107,G,2,m7,0,ii7
107,108,G,5,D7,0,V7
108,110,G,1,M,0,I
110,111,G,5/4,D7,3,V2/IV
111,113,G,4,M,1,IV6
113,114,G,7/5,d7,0,vii-7/V
114,116,G,1,M,2,I64
116,117,G,5,D7,0,V7
117,120,G,1,M,0,I
120,122,G,1,M,1,I6
122,123,G,5/6,D7,1,V65/vi
123,125,G,4,M,1,IV6
125,126,G,7/5,d7,0,vii-7/V
126,128,G,1,M,2,I64
128,129,G,5,D7,0,V7
129,134,G,1,M,0,I
