note_id,onset,offset,score_position,score_position_offset,note,midi_number,note_duration,bar_id,bar_position
0,4.66515,4.95909,0,1,D4,62,1,0,0
1,4.66515,4.95909,0,1,B4,71,1,0,0
2,4.66515,4.95909,0,1,G5,79,1,0,0
3,4.95909,5.4,1,2.5,G5,79,1.5,0,1
4,5.4,5.4091,2.5,2.75,G5,79,0.25,0,2.5
5,5.89545,6.3909,2.75,3,G5,79,0.25,0,2.75
6,6.3909,6.6591,3,3.25,G5,79,0.25,0,3
7,6.6591,6.8591,3.25,3.5,G5,79,0.25,0,3.25
8,6.7591,6.8591,3.5,3.75,F#5,78,0.25,0,3.5
9,6.8591,7.0295,3.75,4,G5,79,0.25,0,3.75
10,7.0409,7.1795,4,4,E5,76,0,1,0
11,7.1409,8.5295,4,5,D5,74,1,1,0
12,7.645845455,8.403263636,5,6.5,D5,74,1.5,1,1
13,8.403263636,8.5295,6.5,6.75,C#5,73,0.25,1,2.5
14,8.5295,8.6705,6.75,7,D5,74,0.25,1,2.75
15,8.6705,8.7909,7,7.25,C#5,73,0.25,1,3
16,8.7909,8.9295,7.25,7.5,D5,74,0.25,1,3.25
17,8.9295,9.0205,7.5,7.75,C#5,73,0.25,1,3.5
18,9.0409,9.1705,7.75,8,D5,74,0.25,1,3.75
19,9.1705,9.5091,8,8.5,C5,72,0.5,2,0
20,9.5091,9.7205,8.5,9,B4,71,0.5,2,0.5
21,9.7205,10.4591,9,10.5,B4,71,1.5,2,1
22,10.4591,10.5295,10.5,11,C5,72,0.5,2,2.5
23,10.5295,10.7409,11,11,D5,74,0,2,3
24,10.6205,10.7795,11,11,C5,72,0,2,3
25,10.7409,11.05,11,11.5,D5,74,0.5,2,3
26,11,11.25,11.5,12,E5,76,0.5,2,3.5
27,11.2909,11.6205,12,12.5,G4,67,0.5,3,0
28,11.6205,11.8909,12.5,13,F#4,66,0.5,3,0.5
29,11.8909,12.2205,13,14,F#4,66,1,3,1
31,13.5795,13.9,16,18,A5,81,2,4,0
32,13.35,15.2909,16,17,D4,62,1,4,0
33,13.3795,14.6205,16,17,A4,69,1,4,0
35,14.4205,14.7,18,18.25,A5,81,0.25,4,2
36,14.7,14.8205,18.25,18.5,G5,79,0.25,4,2.25
37,14.8205,14.9409,18.5,18.75,F#5,78,0.25,4,2.5
38,14.9409,15,18.75,19,G5,79,0.25,4,2.75
39,15.0705,15.2,19,19.25,A5,81,0.25,4,3
40,15.2,15.3795,19.25,19.5,B5,83,0.25,4,3.25
41,15.3795,15.4205,19.5,19.75,A5,81,0.25,4,3.5
42,15.4205,15.5795,19.75,20,B5,83,0.25,4,3.75
43,15.5909,15.9909,20,20.75,C6,84,0.75,5,0
44,15.9909,16.1409,20.75,21,A5,81,0.25,5,0.75
45,16.1409,16.5409,21,22.75,C6,84,1.75,5,1
46,17.0591,17.1795,22.75,23,A5,81,0.25,5,2.75
47,17.2091,17.7409,23,24.5,C6,84,1.5,5,3
48,17.9591,18.1795,24.5,25,B5,83,0.5,6,0
49,18.2,18.5,25,25.5,A5,81,0.5,6,0.5
50,18.5,18.5,25.5,26,B5,83,0.5,6,1
51,18.7909,18.9909,26,26.5,A5,81,0.5,6,1.5
52,18.9909,19.2295,26.5,27,G5,79,0.5,6,2
53,19.2705,19.4205,27,27.5,F#5,78,0.5,6,2.5
54,19.5205,19.8409,27.5,28,E5,76,0.5,6,3
55,19.8409,20.3,28,29.5,D5,74,1.5,7,0
56,20.6409,20.9091,29.5,30,E5,76,0.5,7,1.5
57,20.9591,21.7591,30,31.5,C5,72,1.5,7,2
58,21.8,22.1295,31.5,32,D5,74,0.5,7,3.5
59,22.1295,22.8909,32,33.5,B4,71,1.5,8,0
60,22.8909,23.2091,33.5,34,C5,72,0.5,8,1.5
61,23.2091,24.0091,34,35.5,A4,69,1.5,8,2
62,24.0091,24.6295,35.5,36,E5,76,0.5,8,3.5
64,24.6295,26.45,36,39,G4,67,3,9,0
65,26.0705,26.3705,39,39.5,B4,71,0.5,9,3
66,26.3705,26.6591,39.5,40,A4,69,0.5,9,3.5
67,26.6591,27.2591,40,41,G4,67,1,10,0
69,29.2,30.1409,44,46,G5,79,2,11,0
70,30.1409,30.5909,46,47,B5,83,1,11,2
71,30.5909,32.4205,47,48,D6,86,1,11,3
72,32.4205,32.8205,48,50,D6,86,2,12,0
73,32.77956667,32.82445,50,50.25,C#6,85,0.25,12,2
74,32.82445,32.86933333,50.25,50.5,D6,86,0.25,12,2.25
75,32.86933333,32.91421667,50.5,50.75,C#6,85,0.25,12,2.5
76,32.91421667,32.9591,50.75,51,D6,86,0.25,12,2.75
77,32.8205,32.9591,51,51,E6,88,0,12,3
78,32.9591,33.1295,51,51.5,D6,86,0.5,12,3
79,33.0795,33.2091,51.5,51.75,C6,84,0.25,12,3.5
80,33.2091,33.3409,51.75,52,B5,83,0.25,12,3.75
81,33.3591,33.9205,52,53,G#5,80,1,13,0
82,33.9205,34.4205,53,54,A5,81,1,13,1
83,34.4205,34.5795,54,54.25,C#5,73,0.25,13,2
84,34.5795,34.7,54.25,54.5,D5,74,0.25,13,2.25
85,34.7,34.8091,54.5,54.75,C#5,73,0.25,13,2.5
86,34.8091,34.95,54.75,55,D5,74,0.25,13,2.75
87,34.95,35.0909,55,55,E5,76,0,13,3
88,35.0591,35.2205,55,55.5,D5,74,0.5,13,3
89,35.1909,35.3205,55.5,55.75,C5,72,0.25,13,3.5
90,35.3205,35.45,55.75,56,B4,71,0.25,13,3.75
91,35.4909,36.0591,56,57,G#4,68,1,14,0
92,36.0591,36.4,57,58,A4,69,1,14,1
94,37,37.1795,58.75,59,D5,74,0.25,14,2.75
95,37.1795,37.4,59,59.5,F#5,78,0.5,14,3
96,37.4,37.6795,59.5,60,B5,83,0.5,14,3.5
97,37.6795,37.9205,60,60.5,A5,81,0.5,15,0
98,37.9205,38.2091,60.5,61,G5,79,0.5,15,0.5
99,38.2091,38.8205,61,62.5,G5,79,1.5,15,1
100,38.9909,39.15,62.5,62.75,A5,81,0.25,15,2.5
101,39.15,39.2705,62.75,63,B5,83,0.25,15,2.75
102,39.3205,39.3705,63,63.25,A5,81,0.25,15,3
103,39.3705,39.4795,63.25,63.5,G5,79,0.25,15,3.25
104,39.4795,39.5795,63.5,63.75,F#5,78,0.25,15,3.5
105,39.5795,39.7295,63.75,64,E5,76,0.25,15,3.75
106,39.7295,40.0295,64,64.5,D5,74,0.5,16,0
107,40.0295,40.5409,64.5,65,C#5,73,0.5,16,0.5
109,40.75,41.0591,66,66.5,C#5,73,0.5,16,2
110,41.0591,41.4795,66.5,67,D5,74,0.5,16,2.5
112,41.8909,42.0591,68,68.5,D#5,75,0.5,17,0
113,42.1591,42.4591,68.5,69,E5,76,0.5,17,0.5
115,42.8295,42.9795,70,70.25,E5,76,0.25,17,2
116,42.9795,43.1091,70.25,70.5,G5,79,0.25,17,2.25
117,43.1091,43.3,70.5,70.75,F#5,78,0.25,17,2.5
118,43.3205,43.4295,70.75,71,A5,81,0.25,17,2.75
119,43.4295,43.6909,71,71.5,G5,79,0.5,17,3
120,43.7409,43.9591,71.5,72,G4,67,0.5,17,3.5
121,43.9591,44.0909,72,72.5,F#4,66,0.5,18,0
122,44.2295,44.5295,72.5,73,A5,81,0.5,18,0.5
123,44.5295,44.7591,73,73.5,G5,79,0.5,18,1
124,44.7591,45.05,73.5,74,F#5,78,0.5,18,1.5
125,45.05,45.2795,74,74.5,E5,76,0.5,18,2
126,45.2795,45.5591,74.5,75,D5,74,0.5,18,2.5
127,45.5591,45.8091,75,75.5,C#5,73,0.5,18,3
128,45.8091,46.1409,75.5,76,C5,72,0.5,18,3.5
129,46.15,47.3591,76,78.5,B4,71,2.5,19,0
130,47.4,47.5091,78.5,78.75,C#5,73,0.25,19,2.5
131,47.5295,47.6409,78.75,79,D#5,75,0.25,19,2.75
132,47.6409,47.7409,79,79.25,E5,76,0.25,19,3
133,47.7705,47.8909,79.25,79.5,F#5,78,0.25,19,3.25
134,47.9,48.0295,79.5,79.75,G5,79,0.25,19,3.5
135,48.0295,48.1705,79.75,80,A5,81,0.25,19,3.75
136,48.1705,48.3091,80,80.25,B5,83,0.25,20,0
137,48.3091,48.45,80.25,80.5,C#6,85,0.25,20,0.25
138,48.45,48.55,80.5,80.75,D6,86,0.25,20,0.5
139,48.55,48.65,80.75,81,D6,86,0.25,20,0.75
140,48.75,48.8705,81,81.25,B5,83,0.25,20,1
141,48.8705,49.0091,81.25,81.5,A5,81,0.25,20,1.25
142,49.0409,49.0909,81.5,81.75,G5,79,0.25,20,1.5
143,49.0909,49.2205,81.75,82,F#5,78,0.25,20,1.75
144,49.2409,49.4705,82,82.25,E5,76,0.25,20,2
145,49.3557,49.4705,82.25,82.5,D#5,75,0.25,20,2.25
146,49.4705,49.6,82.5,82.75,E5,76,0.25,20,2.5
147,49.6091,49.7409,82.75,83,F#5,78,0.25,20,2.75
148,49.7409,49.8295,83,83.25,G5,79,0.25,20,3
149,49.87045,50,83.25,83.5,A5,81,0.25,20,3.25
150,50,50.1091,83.5,83.75,B5,83,0.25,20,3.5
151,50.1091,50.25,83.75,84,A#5,82,0.25,20,3.75
152,50.3,50.4091,84,84.25,B5,83,0.25,21,0
153,50.4091,50.5295,84.25,84.5,C#6,85,0.25,21,0.25
154,50.5705,50.8091,84.5,84.75,D6,86,0.25,21,0.5
155,50.6955,50.8205,84.75,85,C#6,85,0.25,21,0.75
156,50.8205,50.9295,85,85.25,B5,83,0.25,21,1
157,50.9295,51.0409,85.25,85.5,A5,81,0.25,21,1.25
158,51.0409,51.1705,85.5,85.75,G5,79,0.25,21,1.5
159,51.1705,51.3,85.75,86,F#5,78,0.25,21,1.75
160,51.3091,51.4091,86,86.25,E5,76,0.25,21,2
161,51.4091,51.5409,86.25,86.5,D#5,75,0.25,21,2.25
162,51.5409,51.65,86.5,86.75,E5,76,0.25,21,2.5
163,51.65,51.75,86.75,87,F#5,78,0.25,21,2.75
164,51.75,51.8591,87,87.25,G5,79,0.25,21,3
165,51.9205,52.0091,87.25,87.5,A5,81,0.25,21,3.25
166,52.0091,52.1295,87.5,87.75,B5,83,0.25,21,3.5
167,52.1295,52.2909,87.75,88,A#5,82,0.25,21,3.75
168,52.2909,52.6091,88,88,C#6,85,0,22,0
169,52.31542,53.0591,88,89,B5,83,1,22,0
170,52.8295,53.1409,89,89,A5,81,0,22,1
171,53.0591,53.4591,89,90,G5,79,1,22,1
172,53.3205,53.65,90,90,F#5,78,0,22,2
173,53.6205,54.1,90,91.5,E5,76,1.5,22,2
174,54.0705,54.1,91.5,92,D5,74,0.5,22,3.5
175,54.4091,54.7295,92,93,C#5,73,1,23,0
177,57.1795,57.6409,97.5,97.75,A5,81,0.25,24,0
178,57.297125,57.41475,97.75,98,A5,81,0.25,24,0.25
179,57.41475,57.65,98,98.5,A5,81,0.5,24,0.5
180,57.65,57.7705,98.5,99,G#5,80,0.5,24,1
181,57.9295,58.1409,99,99.5,A5,81,0.5,24,1.5
182,58.1909,58.3,99.5,100,G#5,80,0.5,24,2
183,58.5,58.9,100,101,A5,81,1,25,0
185,59.3,59.5795,101.5,102,D6,86,0.5,25,1.5
186,59.5795,59.7909,102,102.5,C#6,85,0.5,25,2
187,59.8205,60.0591,102.5,103,D6,86,0.5,25,2.5
188,60.0909,60.35,103,103.5,F#5,78,0.5,25,3
189,60.35,60.6409,103.5,104,B5,83,0.5,25,3.5
190,60.6409,60.9205,104,104.5,A5,81,0.5,26,0
191,60.9205,61.1795,104.5,105,G5,79,0.5,26,0.5
193,61.4091,61.5295,105.5,105.75,G5,79,0.25,26,1.5
194,61.5295,61.8705,105.75,106,G5,79,0.25,26,1.75
195,61.64316667,61.8705,106,106.5,G5,79,0.5,26,2
196,61.8705,62.1,106.5,107,F#5,78,0.5,26,2.5
197,62.1409,62.3795,107,107.5,G5,79,0.5,26,3
198,62.3795,62.5,107.5,108,F#5,78,0.5,26,3.5
199,62.6295,63.4909,108,109,G5,79,1,27,0
201,63.4909,64.0409,109.5,110,D#6,87,0.5,27,1.5
202,63.7659,64.0409,110,110.5,E6,88,0.5,27,2
203,64.0409,64.1909,110.5,111,G#5,80,0.5,27,2.5
204,64.2795,64.5,111,111.5,A5,81,0.5,27,3
205,64.5,64.7795,111.5,112,E5,76,0.5,27,3.5
206,64.7795,65.0795,112,112.5,G5,79,0.5,28,0
207,65.0795,65.3409,112.5,113,F#5,78,0.5,28,0.5
209,65.5795,65.7,113.5,113.75,A5,81,0.25,28,1.5
210,65.7,65.8091,113.75,114,F#5,78,0.25,28,1.75
211,65.8205,65.9705,114,114.25,D5,74,0.25,28,2
212,65.9705,66.0705,114.25,114.5,A4,69,0.25,28,2.25
213,66.0705,66.1795,114.5,114.75,F#4,66,0.25,28,2.5
214,66.2091,66.2909,114.75,115,D4,62,0.25,28,2.75
215,66.2909,66.4091,115,115.25,G4,67,0.25,28,3
216,66.4091,66.5295,115.25,115.5,E4,64,0.25,28,3.25
217,66.5295,66.5295,115.5,115.75,C#4,61,0.25,28,3.5
218,66.65,66.7705,115.75,116,A3,57,0.25,28,3.75
219,66.7705,66.9205,116,116.25,F#4,66,0.25,29,0
220,66.9205,67.0205,116.25,116.5,D4,62,0.25,29,0.25
221,67.0205,67.1409,116.5,116.75,G4,67,0.25,29,0.5
222,67.1409,67.2295,116.75,117,E4,64,0.25,29,0.75
223,67.2909,67.5409,117,117.5,A4,69,0.5,29,1
224,67.5409,67.65,117.5,117.75,A5,81,0.25,29,1.5
225,67.65,67.7,117.75,118,F#5,78,0.25,29,1.75
226,67.7909,67.8909,118,118.25,D5,74,0.25,29,2
227,67.9091,68.0205,118.25,118.5,A4,69,0.25,29,2.25
228,68.0205,68.1409,118.5,118.75,F#4,66,0.25,29,2.5
229,68.1409,68.2591,118.75,119,D4,62,0.25,29,2.75
230,68.2591,68.3795,119,119.25,G4,67,0.25,29,3
231,68.3795,68.5,119.25,119.5,E4,64,0.25,29,3.25
232,68.5091,68.6,119.5,119.75,C#4,61,0.25,29,3.5
233,68.6,68.7705,119.75,120,A3,57,0.25,29,3.75
234,68.7705,68.8705,120,120.25,F#4,66,0.25,30,0
235,68.8909,68.9909,120.25,120.5,D4,62,0.25,30,0.25
236,68.9909,69.1,120.5,120.75,G4,67,0.25,30,0.5
237,69.1,69.2205,120.75,121,E4,64,0.25,30,0.75
238,69.2295,69.6591,121,121.5,A4,69,0.5,30,1
240,71.2705,71.3795,125.5,125.75,A4,69,0.25,31,0
241,71.3795,71.5,125.75,126,F#4,66,0.25,31,0.25
242,71.5,71.6205,126,126.25,B4,71,0.25,31,0.5
243,71.6205,71.7705,126.25,126.5,G4,67,0.25,31,0.75
244,71.7705,71.8591,126.5,126.75,C#5,73,0.25,31,1
245,71.8591,72.0205,126.75,127,A4,69,0.25,31,1.25
246,72.0205,72.1205,127,127.25,D5,74,0.25,31,1.5
247,72.1205,72.2591,127.25,127.5,A4,69,0.25,31,1.75
248,72.2591,72.3795,127.5,127.75,E5,76,0.25,31,2
249,72.3795,72.4909,127.75,128,C#5,73,0.25,31,2.25
250,72.4909,72.6091,128,128.25,F#5,78,0.25,32,0
251,72.6091,72.7409,128.25,128.5,D5,74,0.25,32,0.25
252,72.7409,72.8591,128.5,128.75,G5,79,0.25,32,0.5
253,72.8591,72.9909,128.75,129,E5,76,0.25,32,0.75
254,72.9909,73.1,129,129.25,A5,81,0.25,32,1
255,73.1,73.2705,129.25,129.5,F#5,78,0.25,32,1.25
256,73.2705,73.4,129.5,129.75,A#5,82,0.25,32,1.5
257,73.4,73.4705,129.75,130,F#5,78,0.25,32,1.75
258,73.5591,74.0909,130,131,B5,83,1,32,2
259,74.1,74.6909,131,132,D6,86,1,32,3
260,74.9409,75.2409,132,134.25,E5,76,2.25,33,0
261,75.9091,76.0591,134.25,134.5,F#5,78,0.25,33,2.25
262,76.0591,76.2091,134.5,134.75,G5,79,0.25,33,2.5
263,76.2091,76.3205,134.75,135,F#5,78,0.25,33,2.75
264,76.3205,76.4909,135,135,A5,81,0,33,3
265,76.4409,77.4795,135,135.5,G5,79,0.5,33,3
266,76.60756667,76.6909,135.5,135.75,F#5,78,0.25,33,3.5
267,76.6909,76.8205,135.75,136,E5,76,0.25,33,3.75
268,76.8409,77.5409,136,137,D5,74,1,34,0
270,78.9591,80.0205,140,142,D4,62,2,35,0
271,80.0409,81.05,142,144,E4,64,2,35,2
