note_id,onset,offset,score_position,score_position_offset,note,midi_number,note_duration,bar_id,bar_position
0,1.369977324,4.435011338,0.0,1.5,Eb4,63,1.5,0,0.0
1,4.435011338,5.433469388,1.5,2.0,Eb4,63,0.5,0,1.5
2,5.45,6.15909,2.0,3.0,F4,65,1.0,0,2.0
3,6.27046,6.55909,3.0,4.0,Ab4,68,1.0,0,3.0
4,6.55909,6.92954,4.0,5.0,G#4,68,1.0,1,0.0
5,6.92954,7.15,5.0,5.5,Ab4,68,0.5,1,1.0
6,7.15,7.97954,5.5,6.0,Bb4,70,0.5,1,1.5
7,8.8091,10.5295,6.0,8.0,C5,72,2.0,1,2.0
8,10.9205,11.9295,8.0,9.5,Eb5,75,1.5,2,0.0
9,12.2591,12.8409,9.5,10.0,C5,72,0.5,2,1.5
10,12.55,12.8409,10.0,10.5,C5,72,0.5,2,2.0
11,12.8409,13.2591,10.5,11.0,Bb4,70,0.5,2,2.5
12,13.2795,14.1091,11.0,12.0,Ab4,68,1.0,2,3.0
13,14.1409,16.8,12.0,16.0,Bb4,70,4.0,3,0.0
14,17.2205,18.3909,16.0,17.5,C5,72,1.5,4,0.0
15,17.5205,18.1591,16.0,18.0,Ab4,68,2.0,4,0.0
16,18.4205,18.9,17.5,18.0,Eb5,75,0.5,4,1.5
17,18.9,19.0295,18.0,19.0,G4,67,1.0,4,2.0
18,18.9205,19.6205,18.0,20.0,Gb4,66,2.0,4,2.0
19,19.7295,20.0091,19.0,19.5,C5,72,0.5,4,3.0
20,20.0909,20.4295,19.5,20.0,Eb5,75,0.5,4,3.5
21,20.5909,21.4409,20.0,21.5,Ab4,68,1.5,5,0.0
22,20.6295,22.2795,20.0,22.0,F4,65,2.0,5,0.0
23,21.8,22.25,21.5,22.0,Bb4,70,0.5,5,1.5
24,22.25,24.1909,22.0,24.0,Bb4,70,2.0,5,2.0
25,22.2705,24.0909,22.0,24.0,Fb4,64,2.0,5,2.0
26,24.35,25.5205,24.0,25.5,Eb4,63,1.5,6,0.0
27,25.5705,26.9091,25.5,26.0,C5,72,0.5,6,1.5
28,26.9409,27.3205,26.0,27.0,Bb4,70,1.0,6,2.0
29,27.3205,27.7205,27.0,28.0,Bb4,70,1.0,6,3.0
30,27.8,29.0591,28.0,29.5,Ab4,68,1.5,7,0.0
31,29.0591,29.4,29.5,30.0,Ab4,68,0.5,7,1.5
32,31.2295,31.8,32.0,33.5,Bb5,82,1.5,8,0.0
33,31.8,31.9295,33.5,34.0,C6,84,0.5,8,1.5
34,33.1295,33.8091,34.0,35.0,C6,84,1.0,8,2.0
35,33.8091,34.2295,35.0,35.5,Bb5,82,0.5,8,3.0
36,34.2295,34.6591,35.5,36.0,Ab5,80,0.5,8,3.5
37,34.6909,35.5295,36.0,37.0,F5,77,1.0,9,0.0
38,35.5295,35.9091,37.0,37.5,Eb5,75,0.5,9,1.0
39,35.9091,36.3705,37.5,38.0,F5,77,0.5,9,1.5
40,36.4705,37.6295,38.0,40.0,Ab5,80,2.0,9,2.0
41,38.5295,38.85,40.0,40.5,Db4,61,0.5,10,0.0
42,38.2795,38.4795,40.0,40.5,F4,65,0.5,10,0.0
43,38.85,39.5909,40.5,41.5,Db4,61,1.0,10,0.5
44,39.27045,39.6909,40.5,41.5,F4,65,1.0,10,0.5
45,39.6909,40.1591,41.5,42.0,Eb4,63,0.5,10,1.5
46,39.7,40.15,41.5,42.0,Ab4,68,0.5,10,1.5
47,40.0909,41.0409,42.0,43.0,D4,62,1.0,10,2.0
48,40.15,41.0409,42.0,43.0,Bb4,70,1.0,10,2.0
49,41.0205,41.8909,43.0,44.0,F4,65,1.0,10,3.0
50,41.0295,41.8705,43.0,44.0,C5,72,1.0,10,3.0
51,41.8909,42.0205,44.0,46.0,D5,74,2.0,11,0.0
52,41.95,43.6295,44.0,48.0,G4,67,4.0,11,0.0
53,43.86111111,44.1,46.0,46.5,Eb5,75,0.5,11,2.0
54,44.1,44.1205,46.5,47.5,F5,77,1.0,11,2.5
55,45.2591,46.0091,47.5,48.0,Eb5,75,0.5,11,3.5
56,46.0091,46.5705,48.0,49.0,Eb5,75,1.0,12,0.0
57,46.17576667,46.2591,48.0,48.5,C5,72,0.5,12,0.0
58,46.2591,46.55,48.5,49.0,Bb4,70,0.5,12,0.5
59,46.5705,47.4795,49.0,50.0,Eb5,75,1.0,12,1.0
60,46.6295,47.0409,49.0,49.5,Ab4,68,0.5,12,1.0
61,47.0795,47.4795,49.5,50.0,G4,67,0.5,12,1.5
62,47.4795,48.45,50.0,51.0,F5,77,1.0,12,2.0
63,47.55,48.5091,50.0,52.0,Gb4,66,2.0,12,2.0
